,math,h,gender,school,age,Exp,spat
509,1,1,1,7,8,Exp2,NA
510,1,1,1,7,8,Exp2,NA
511,1,-0.65,1,7,8,Exp2,NA
512,1,1,1,7,8,Exp2,NA
513,1,0.9,1,7,8,Exp2,NA
514,1,0.63,0,7,8,Exp2,NA
515,1,1,0,7,8,Exp2,NA
516,1,1,0,7,8,Exp2,NA
517,1,0.89,0,7,8,Exp2,NA
518,1,1,0,7,8,Exp2,NA
519,1,1,0,7,8,Exp2,NA
520,1,1,0,7,8,Exp2,NA
521,1,0.76,1,8,8,Exp2,NA
522,1,0.6,1,8,8,Exp2,NA
523,1,0.78,0,8,7,Exp2,NA
524,1,0.6,0,8,7,Exp2,NA
525,1,0.7,0,8,8,Exp2,NA
526,1,0.8,1,11,9,Exp2,NA
527,1,0.3,1,11,9,Exp2,NA
528,1,0.8,1,11,8,Exp2,NA
529,1,0.9,1,11,9,Exp2,NA
530,1,0.5,0,11,8,Exp2,NA
531,1,0.44,0,11,8,Exp2,NA
532,1,-0.6,0,11,8,Exp2,NA
533,1,1,0,11,8,Exp2,NA
534,1,0.68,0,11,9,Exp2,NA
535,1,0.47,0,11,8,Exp2,NA
536,1,1,0,11,8,Exp2,NA
537,1,1,0,11,8,Exp2,NA
538,1,0.6,1,12,8,Exp2,NA
539,1,0.89,1,12,9,Exp2,NA
540,1,-1,1,12,9,Exp2,NA
541,1,0.7,1,12,8,Exp2,NA
542,1,0.11,1,12,8,Exp2,NA
543,1,0.41,1,12,9,Exp2,NA
544,1,0.7,1,12,8,Exp2,NA
545,1,1,1,12,9,Exp2,NA
546,1,1,0,12,9,Exp2,NA
547,1,-0.18,0,12,9,Exp2,NA
548,1,1,0,12,8,Exp2,NA
549,1,0.18,0,12,8,Exp2,NA
550,1,1,0,12,8,Exp2,NA
551,1,0.56,0,12,9,Exp2,NA
552,1,-0.53,0,12,8,Exp2,NA
553,1,0.9,1,13,8,Exp2,NA
554,1,0.8,1,13,10,Exp2,NA
555,1,0.76,1,13,10,Exp2,NA
556,1,0.9,1,13,9,Exp2,NA
557,1,-0.9,0,13,9,Exp2,NA
558,1,1,0,13,9,Exp2,NA
559,1,0.9,0,13,9,Exp2,NA
560,1,0.58,0,13,9,Exp2,NA
561,1,0.3,0,13,10,Exp2,NA
562,1,0.6,1,14,8,Exp2,NA
563,1,1,1,14,9,Exp2,NA
564,1,0.89,1,14,9,Exp2,NA
565,1,-0.7,1,14,8,Exp2,NA
566,1,0.9,1,14,9,Exp2,NA
567,1,0.22,1,14,10,Exp2,NA
568,1,1,1,14,9,Exp2,NA
569,1,-0.9,1,14,10,Exp2,NA
570,1,1,1,14,9,Exp2,NA
571,1,1,1,14,9,Exp2,NA
572,1,1,1,14,10,Exp2,NA
573,1,0.7,0,14,8,Exp2,NA
574,1,1,0,14,8,Exp2,NA
575,1,0.8,0,14,9,Exp2,NA
576,1,1,0,14,8,Exp2,NA
577,1,0.67,0,14,8,Exp2,NA
578,1,-0.3,0,14,9,Exp2,NA
579,1,0.65,0,14,9,Exp2,NA
580,1,1,0,14,10,Exp2,NA
581,1,0.7,0,14,9,Exp2,NA
582,1,0.47,0,14,9,Exp2,NA
583,2,1,0,1,8,Exp2,NA
584,2,1,0,1,8,Exp2,NA
585,2,0.68,0,1,8,Exp2,NA
586,2,1,0,1,8,Exp2,NA
587,2,-0.33,1,3,8,Exp2,NA
588,2,0.7,1,3,9,Exp2,NA
